Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C18, C2, C21, C22, C23, C26, C27, C9",0402,13,0.1uF,
C13,0402,1,10nF,
"C15, C16, C17, C19, C24, C25",0402,6,47pF,
C20,0402,1,470nF,
"C3, C4",0603,2,10uF,
"C5, C6, C7",0603,3,1uF,
C8,0603,1,4.7uF,
D1,0805,1,LED Blue,
D2,0805,1,LED Red,
D3,0805,1,LED Green,
FB1,0805,1,30,
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,
"J2, J3",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,U.FL,
"L1, L2",0402,2,47nH,
P1,SAMTEC_ERM8-025-XX-X-D-RA-XX,1,ERM8-025-01-L-D-RA-K-TR,
R1,0402,1,10,
"R2, R3, R4, R5, R6",0402,5,4.7K,
"R7, R9",0402,2,2.2K,
R8,0402,1,330,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
U1,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN334,
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,1,MCP98243,
U3,CP-10-9_ADI,1,ADP7158ACPZ-3.3-R7,
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G474CEUx,
U5,SOT-363_SC-70-6,1,AS179-92LF,
U6,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,
U7,SOT-23-5,1,SN74LVC1G14DBV,
U8,ublox_NEO,1,NEO-M8M,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,ECS-TXO-2520MV,
