Designator,Mid X,Mid Y,Rotation,Layer
C1,143.2,-79.9,180.0,top
C10,146.6,-89.2,180.0,top
C11,145.2,-97.4,270.0,top
C12,146.6,-98.8,180.0,top
C13,164.5,-108.0,180.0,top
C14,170.0,-107.0,270.0,top
C15,160.75,-119.75,270.0,top
C16,160.0,-125.75,270.0,top
C17,159.25,-119.75,270.0,top
C18,162.25,-114.0,0.0,top
C19,162.25,-113.0,0.0,top
C2,137.5,-96.0,0.0,top
C20,160.5,-102.75,180.0,top
C21,167.5,-122.0,90.0,top
C22,163.0,-110.0,0.0,top
C23,159.0,-103.25,90.0,top
C24,140.0,-119.0,270.0,top
C25,138.0,-120.0,0.0,top
C26,127.0,-102.0,180.0,top
C27,129.0,-102.0,0.0,top
C3,168.5,-68.0,90.0,top
C4,168.0,-75.0,180.0,top
C5,171.5,-68.0,90.0,top
C6,171.5,-75.0,0.0,top
C7,170.0,-68.0,90.0,top
C8,156.5,-90.5,90.0,top
C9,155.0,-91.0,90.0,top
D1,150.0,-130.0,0.0,top
D2,160.898051,-77.114704,180.0,top
D3,167.75,-77.064925,0.0,top
FB1,138.9375,-121.5,180.0,top
FL1,160.0,-117.0,270.0,top
J1,164.25,-94.0,90.0,top
J2,160.0,-130.0,270.0,top
J3,140.0,-130.0,270.0,top
L1,161.25,-115.0,180.0,top
L2,160.5,-103.75,0.0,top
P1,150.0,-60.5,0.0,top
R1,138.0,-119.0,180.0,top
R2,135.75,-94.5,90.0,top
R3,137.5,-92.25,180.0,top
R4,147.25,-109.0,90.0,top
R5,145.25,-109.0,90.0,top
R6,149.25,-109.0,90.0,top
R7,160.9302,-78.783323,180.0,top
R8,150.0,-128.25,0.0,top
R9,167.75,-78.75,0.0,top
TP1,145.25,-107.0,0.0,top
TP2,135.5,-119.0,0.0,top
TP3,129.25,-119.0,0.0,top
TP4,164.0,-71.0,0.0,top
TP5,173.25,-78.5,0.0,top
TP6,167.5,-94.0,0.0,top
U1,143.2,-75.4,90.0,top
U2,138.5,-94.125,90.0,top
U3,170.0,-72.0,90.0,top
U4,150.0,-94.0,180.0,top
U5,160.0,-122.5,90.0,top
U6,159.5,-107.75,270.0,top
U7,165.02,-122.0,90.0,top
U8,134.0,-110.0,90.0,top
Y1,167.5,-107.0,180.0,top
